shipment_date,planning_day,is_planning_window,corridor_id,item_id,item_name,unique_item_id,dispatch_location
2026-03-03,Day1,1,C1_I95_NJ_BOS,10021,Remdesivir 100mg,RMD-2026-01001,Boston-MGH
2026-03-03,Day1,1,C1_I95_NJ_BOS,10022,Insulin Lispro,INS-2026-01002,Boston-BWH
2026-03-03,Day1,1,C1_I95_NJ_BOS,10035,Pembrolizumab,PBR-2026-01003,Boston-DanaFarber
2026-03-03,Day1,1,C1_I95_NJ_BOS,10021,Remdesivir 100mg,RMD-2026-01004,Boston-MGH
2026-03-03,Day1,1,C1_I95_NJ_BOS,10022,Insulin Lispro,INS-2026-01005,Boston-BWH
2026-03-03,Day1,1,C1_I95_NJ_BOS,10035,Pembrolizumab,PBR-2026-01006,Boston-DanaFarber
2026-03-03,Day1,1,C1_I95_NJ_BOS,10021,Remdesivir 100mg,RMD-2026-01007,Boston-MGH
2026-03-03,Day1,1,C1_I95_NJ_BOS,10022,Insulin Lispro,INS-2026-01008,Boston-BWH
2026-03-03,Day1,1,C1_I95_NJ_BOS,10035,Pembrolizumab,PBR-2026-01009,Boston-DanaFarber
2026-03-03,Day1,1,C1_I95_NJ_BOS,10040,Epinephrine Auto-Injector,EPI-2026-01010,Boston-MGH
2026-03-03,Day1,1,C1_I95_NJ_BOS,10050,Heparin Sodium,HEP-2026-01011,Boston-BWH
2026-03-03,Day1,1,C1_I95_NJ_BOS,10070,Albuterol Inhaler,ALB-2026-01012,Boston-DanaFarber
2026-03-03,Day1,1,C1_I95_NJ_BOS,10040,Epinephrine Auto-Injector,EPI-2026-01013,Boston-MGH
2026-03-03,Day1,1,C1_I95_NJ_BOS,10050,Heparin Sodium,HEP-2026-01014,Boston-BWH
2026-03-03,Day1,1,C1_I95_NJ_BOS,10070,Albuterol Inhaler,ALB-2026-01015,Boston-DanaFarber
2026-03-03,Day1,1,C1_I95_NJ_BOS,10040,Epinephrine Auto-Injector,EPI-2026-01016,Boston-MGH
2026-03-03,Day1,1,C1_I95_NJ_BOS,10050,Heparin Sodium,HEP-2026-01017,Boston-BWH
2026-03-03,Day1,1,C1_I95_NJ_BOS,10070,Albuterol Inhaler,ALB-2026-01018,Boston-DanaFarber
2026-03-03,Day1,1,C2_NJ_PHL,10021,Remdesivir 100mg,RMD-2026-11001,Philadelphia-UPenn
2026-03-03,Day1,1,C2_NJ_PHL,10022,Insulin Lispro,INS-2026-11002,Philadelphia-CHOP
2026-03-03,Day1,1,C2_NJ_PHL,10035,Pembrolizumab,PBR-2026-11003,Philadelphia-Jefferson
2026-03-03,Day1,1,C2_NJ_PHL,10021,Remdesivir 100mg,RMD-2026-11004,Philadelphia-UPenn
2026-03-03,Day1,1,C2_NJ_PHL,10022,Insulin Lispro,INS-2026-11005,Philadelphia-CHOP
2026-03-03,Day1,1,C2_NJ_PHL,10035,Pembrolizumab,PBR-2026-11006,Philadelphia-Jefferson
2026-03-03,Day1,1,C2_NJ_PHL,10021,Remdesivir 100mg,RMD-2026-11007,Philadelphia-UPenn
2026-03-03,Day1,1,C2_NJ_PHL,10022,Insulin Lispro,INS-2026-11008,Philadelphia-CHOP
2026-03-03,Day1,1,C2_NJ_PHL,10035,Pembrolizumab,PBR-2026-11009,Philadelphia-Jefferson
2026-03-03,Day1,1,C2_NJ_PHL,10040,Epinephrine Auto-Injector,EPI-2026-11010,Philadelphia-UPenn
2026-03-03,Day1,1,C2_NJ_PHL,10050,Heparin Sodium,HEP-2026-11011,Philadelphia-CHOP
2026-03-03,Day1,1,C2_NJ_PHL,10070,Albuterol Inhaler,ALB-2026-11012,Philadelphia-Jefferson
2026-03-03,Day1,1,C2_NJ_PHL,10040,Epinephrine Auto-Injector,EPI-2026-11013,Philadelphia-UPenn
2026-03-03,Day1,1,C2_NJ_PHL,10050,Heparin Sodium,HEP-2026-11014,Philadelphia-CHOP
2026-03-03,Day1,1,C2_NJ_PHL,10070,Albuterol Inhaler,ALB-2026-11015,Philadelphia-Jefferson
2026-03-03,Day1,1,C2_NJ_PHL,10040,Epinephrine Auto-Injector,EPI-2026-11016,Philadelphia-UPenn
2026-03-03,Day1,1,C2_NJ_PHL,10050,Heparin Sodium,HEP-2026-11017,Philadelphia-CHOP
2026-03-03,Day1,1,C2_NJ_PHL,10070,Albuterol Inhaler,ALB-2026-11018,Philadelphia-Jefferson
